"LSOA11CD,C,9","LSOA11NM,C,254","Count_,N,10,0","ROAD_ID,N,5,0",Work
E01026877,South Norfolk 011A,1,70654,7666
E01026877,South Norfolk 011A,1,70655,7667
E01026877,South Norfolk 011A,3,70656,7668
E01026886,South Norfolk 014C,2,70657,7669
E01026886,South Norfolk 014C,7,70658,7670
E01026872,South Norfolk 013A,0,70659,7671
E01026872,South Norfolk 013A,5,70660,7672
E01026872,South Norfolk 013A,2,70661,7673
E01026872,South Norfolk 013A,16,70662,7674
E01026872,South Norfolk 013A,17,70663,7675
E01026872,South Norfolk 013A,9,70664,7676
E01026886,South Norfolk 014C,4,70665,7677
E01026877,South Norfolk 011A,1,70666,7678
E01026877,South Norfolk 011A,11,70667,7679
E01026877,South Norfolk 011A,8,70668,7680
E01026886,South Norfolk 014C,3,70669,7681
E01026877,South Norfolk 011A,12,70670,7682
E01026877,South Norfolk 011A,1,70671,7683
E01026877,South Norfolk 011A,12,70672,7684
E01026897,South Norfolk 011C,6,70673,7685
E01026897,South Norfolk 011C,7,70674,7686
E01026897,South Norfolk 011C,2,70675,7687
E01026897,South Norfolk 011C,4,70676,7688
E01026897,South Norfolk 011C,3,70677,7689
E01026897,South Norfolk 011C,10,70678,7690
E01026897,South Norfolk 011C,10,70679,7691
E01026897,South Norfolk 011C,6,70680,7692
E01026897,South Norfolk 011C,4,70681,7693
E01026897,South Norfolk 011C,11,70682,7694
E01026897,South Norfolk 011C,6,70683,7695
E01026939,South Norfolk 011E,1,70684,7696
E01026886,South Norfolk 014C,4,70685,7697
E01026886,South Norfolk 014C,5,70686,7698
E01026886,South Norfolk 014C,8,70687,7699
E01026886,South Norfolk 014C,3,70688,7700
E01026886,South Norfolk 014C,1,70689,7701
E01026886,South Norfolk 014C,5,70690,7702
E01026939,South Norfolk 011E,4,70691,7703
E01026939,South Norfolk 011E,1,70692,7704
E01026939,South Norfolk 011E,6,70693,7705
E01026939,South Norfolk 011E,0,70694,7706
E01026939,South Norfolk 011E,1,70695,7707
E01026940,South Norfolk 011F,2,70696,7708
E01026897,South Norfolk 011C,3,70697,7709
E01026897,South Norfolk 011C,6,70698,7710
E01026897,South Norfolk 011C,0,70699,7711
E01026897,South Norfolk 011C,0,70700,7712
E01026939,South Norfolk 011E,3,70701,7713
E01026939,South Norfolk 011E,2,70702,7714
E01026939,South Norfolk 011E,6,70703,7715
E01026939,South Norfolk 011E,1,70704,7716
E01026939,South Norfolk 011E,0,70705,7717
E01026938,South Norfolk 011D,4,70706,7718
E01026939,South Norfolk 011E,1,70707,7719
E01026938,South Norfolk 011D,3,70708,7720
E01026939,South Norfolk 011E,15,70709,7721
E01026939,South Norfolk 011E,5,70710,7722
E01026939,South Norfolk 011E,10,70711,7723
E01026938,South Norfolk 011D,11,70712,7724
E01026939,South Norfolk 011E,6,70713,7725
E01026938,South Norfolk 011D,3,70714,7726
E01026938,South Norfolk 011D,3,70715,7727
E01026940,South Norfolk 011F,6,70716,7728
E01026940,South Norfolk 011F,6,70717,7729
E01026940,South Norfolk 011F,13,70718,7730
E01026940,South Norfolk 011F,3,70719,7731
E01026940,South Norfolk 011F,7,70720,7732
E01026940,South Norfolk 011F,5,70721,7733
E01026940,South Norfolk 011F,4,70722,7734
E01026940,South Norfolk 011F,5,70723,7735
E01026940,South Norfolk 011F,2,70724,7736
E01026938,South Norfolk 011D,3,70725,7737
E01026939,South Norfolk 011E,10,70726,7738
E01026940,South Norfolk 011F,7,70727,7739
E01026939,South Norfolk 011E,3,70728,7740
E01026939,South Norfolk 011E,8,70729,7741
E01026940,South Norfolk 011F,5,70730,7742
E01026940,South Norfolk 011F,17,70731,7743
E01026940,South Norfolk 011F,11,70732,7744
E01026939,South Norfolk 011E,1,70733,7745
E01026940,South Norfolk 011F,5,70734,7746
E01026940,South Norfolk 011F,2,70735,7747
E01026872,South Norfolk 013A,6,70736,7748
E01026872,South Norfolk 013A,6,70737,7749
E01026872,South Norfolk 013A,8,70738,7750
E01026872,South Norfolk 013A,1,70739,7751
E01026872,South Norfolk 013A,3,70740,7752
E01026872,South Norfolk 013A,6,70741,7753
E01026872,South Norfolk 013A,9,70742,7754
E01026872,South Norfolk 013A,2,70743,7755
E01026872,South Norfolk 013A,7,70744,7756
E01026872,South Norfolk 013A,7,70745,7757
E01026938,South Norfolk 011D,10,70746,7758
E01026894,South Norfolk 012C,10,70747,7759
E01026901,South Norfolk 013C,0,70748,7760
E01026894,South Norfolk 012C,0,70749,7761
E01026939,South Norfolk 011E,5,70750,7762
E01026903,South Norfolk 012D,11,70751,7763
E01026939,South Norfolk 011E,6,70752,7764
E01026938,South Norfolk 011D,2,70753,7765
E01026939,South Norfolk 011E,3,70754,7766
E01026938,South Norfolk 011D,10,70755,7767
E01026939,South Norfolk 011E,4,70756,7768
E01026938,South Norfolk 011D,7,70757,7769
E01026938,South Norfolk 011D,7,70758,7770
E01026938,South Norfolk 011D,1,70759,7771
E01026938,South Norfolk 011D,7,70760,7772
E01026938,South Norfolk 011D,6,70761,7773
E01026938,South Norfolk 011D,5,70762,7774
