"LSOA11CD,C,9","LSOA11NM,C,254","Count_,N,10,0","ROAD_ID,N,5,0",Work
E01026691,King's Lynn and West Norfolk 005A,0,149,10
E01026691,King's Lynn and West Norfolk 005A,0,150,11
E01026718,King's Lynn and West Norfolk 004D,0,151,12
E01026718,King's Lynn and West Norfolk 004D,0,152,13
E01026718,King's Lynn and West Norfolk 004D,9,153,14
E01026718,King's Lynn and West Norfolk 004D,0,154,15
E01026718,King's Lynn and West Norfolk 004D,4,155,16
E01026718,King's Lynn and West Norfolk 004D,3,156,17
E01026702,King's Lynn and West Norfolk 003E,14,157,18
E01026702,King's Lynn and West Norfolk 003E,2,158,19
E01026706,King's Lynn and West Norfolk 011F,2,159,20
E01026690,King's Lynn and West Norfolk 007D,1,160,21
E01026718,King's Lynn and West Norfolk 004D,0,161,22
E01026718,King's Lynn and West Norfolk 004D,0,162,23
E01026718,King's Lynn and West Norfolk 004D,0,163,24
E01026706,King's Lynn and West Norfolk 011F,0,164,25
E01026704,King's Lynn and West Norfolk 011D,0,165,26
E01026706,King's Lynn and West Norfolk 011F,0,166,27
E01026690,King's Lynn and West Norfolk 007D,1,167,28
E01026645,King's Lynn and West Norfolk 002A,2,168,29
E01026645,King's Lynn and West Norfolk 002A,0,169,30
E01026703,King's Lynn and West Norfolk 003F,9,170,31
E01026703,King's Lynn and West Norfolk 003F,30,171,32
E01026681,King's Lynn and West Norfolk 001B,5,172,33
E01026645,King's Lynn and West Norfolk 002A,0,173,34
E01026645,King's Lynn and West Norfolk 002A,1,174,35
E01026645,King's Lynn and West Norfolk 002A,5,175,36
E01026645,King's Lynn and West Norfolk 002A,26,176,37
E01026645,King's Lynn and West Norfolk 002A,2,177,38
E01026645,King's Lynn and West Norfolk 002A,12,178,39
E01026645,King's Lynn and West Norfolk 002A,0,179,40
E01026645,King's Lynn and West Norfolk 002A,5,180,41
E01026676,King's Lynn and West Norfolk 003A,6,181,42
E01026645,King's Lynn and West Norfolk 002A,0,182,43
E01026645,King's Lynn and West Norfolk 002A,1,183,44
E01026645,King's Lynn and West Norfolk 002A,0,184,45
E01026645,King's Lynn and West Norfolk 002A,0,185,46
E01026645,King's Lynn and West Norfolk 002A,0,186,47
E01026645,King's Lynn and West Norfolk 002A,0,187,48
E01026645,King's Lynn and West Norfolk 002A,0,188,49
E01026645,King's Lynn and West Norfolk 002A,4,189,50
E01026683,King's Lynn and West Norfolk 001D,4,190,51
E01026645,King's Lynn and West Norfolk 002A,5,191,52
E01026676,King's Lynn and West Norfolk 003A,14,192,53
E01026676,King's Lynn and West Norfolk 003A,4,193,54
E01026676,King's Lynn and West Norfolk 003A,1,194,55
E01026645,King's Lynn and West Norfolk 002A,6,195,56
E01026656,King's Lynn and West Norfolk 002C,1,196,57
E01026703,King's Lynn and West Norfolk 003F,0,197,58
