"LSOA11CD,C,9","LSOA11NM,C,254","Count_,N,10,0","ROAD_ID,N,5,0",Work
E01026756,North Norfolk 010D,0,50202,50
E01026756,North Norfolk 010D,3,50203,51
E01026757,North Norfolk 010E,3,50204,52
E01026756,North Norfolk 010D,4,50205,53
E01026757,North Norfolk 010E,5,50206,54
E01026757,North Norfolk 010E,6,50207,55
E01026757,North Norfolk 010E,3,50208,56
E01026757,North Norfolk 010E,4,50209,57
E01026757,North Norfolk 010E,2,50210,58
E01026757,North Norfolk 010E,1,50211,59
E01026757,North Norfolk 010E,1,50212,60
E01026757,North Norfolk 010E,5,50213,61
E01026757,North Norfolk 010E,4,50214,62
E01026757,North Norfolk 010E,2,50215,63
E01026757,North Norfolk 010E,2,50216,64
E01026758,North Norfolk 010F,8,50217,65
E01026758,North Norfolk 010F,7,50218,66
E01026757,North Norfolk 010E,5,50219,67
E01026757,North Norfolk 010E,3,50220,68
E01026758,North Norfolk 010F,5,50221,69
E01026757,North Norfolk 010E,5,50222,70
E01026757,North Norfolk 010E,4,50223,71
E01026757,North Norfolk 010E,1,50224,72
E01026756,North Norfolk 010D,3,50225,73
E01026757,North Norfolk 010E,6,50226,74
E01026756,North Norfolk 010D,1,50227,75
E01026757,North Norfolk 010E,7,50228,76
E01026761,North Norfolk 010I,0,50229,77
E01026738,North Norfolk 007A,0,50230,78
E01026738,North Norfolk 007A,0,50231,79
E01026738,North Norfolk 007A,8,50232,80
E01026738,North Norfolk 007A,0,50233,81
E01026738,North Norfolk 007A,1,50234,82
E01026738,North Norfolk 007A,0,50235,83
E01026738,North Norfolk 007A,4,50236,84
E01026738,North Norfolk 007A,3,50237,85
E01026738,North Norfolk 007A,1,50238,86
E01026738,North Norfolk 007A,3,50239,87
E01026738,North Norfolk 007A,3,50240,88
E01026738,North Norfolk 007A,1,50241,89
E01026738,North Norfolk 007A,5,50242,90
E01026790,North Norfolk 012E,1,50243,91
E01026790,North Norfolk 012E,0,50244,92
E01026790,North Norfolk 012E,4,50245,93
E01026790,North Norfolk 012E,1,50246,94
E01026790,North Norfolk 012E,0,50247,95
E01026740,North Norfolk 012A,5,50248,96
E01033538,South Norfolk 001G,0,50249,97
E01026740,North Norfolk 012A,0,50250,98
