"TOID,C,16","DESCRIPT_1,C,50","NATUREOFRO,C,31","ROADNAME,C,100","LENGTH,N,7,0","LSOA11CD,C,9","LSOA11NM,C,254","OID_,N,9,0","LA_CODE,C,9","LA_NAME,C,28","MSOA_CODE,C,9","MSOA_NAME,C,32","LSOAAREA,N,10,0","LSOA_ID,N,3,0","N_NEW_Name,C,254","N_NEW_Bad_,C,254","N_NEW_VB_H,C,254","N_NEW_B_VB,C,254","N_NEW_DepH,C,254","N_NEW_UsuR,C,254","Count_,N,10,0","NLSOA_ID,N,3,0","NLSOA_ID_1,N,10,0","NHRP65ONE,N,10,0","NHRP65,N,10,0","NALL_HSE,N,10,0","NONEHSE,N,10,0","NNEW_ALL_R,C,254","NNEW_MALES,C,254","NNEW_FEM_C,C,254","NNEW_AGE_0,C,254","NNEW_AGE_1,C,254","NNEW_AGE_6,C,254","NNEW_NO_CA,C,254","NNEW_LMTD_,C,254","NNEW_LMT_1,C,254","NNEW_LMT_2,C,254","NNEW_CEN_H,C,254","NNEW_UsuRe,C,254","NNEW_HRP65,C,254","ROAD_ID,N,5,0",Work
4E+15,Minor Road,Single Carriageway,MILL ROAD,929,E01026720,King's Lynn and West Norfolk 013D,280,E07000146,King's Lynn and West Norfolk,E02005563,King's Lynn and West Norfolk 013,15620862,123,UE720 - Walton,66,19,85,192,1324,21,123,297,65,172,526,112,1324,680,644,226,824,274,34,166,121,287,6,1324,172,1,5
4E+15,Minor Road,Single Carriageway,,678,E01026697,King's Lynn and West Norfolk 015B,289,E07000146,King's Lynn and West Norfolk,E02005565,King's Lynn and West Norfolk 015,15476030,317,UE697 - St Lawrence,76,21,97,176,1264,8,317,274,79,190,550,140,1271,617,654,184,795,292,59,173,121,294,20,1264,190,2,5
4E+15,Minor Road,Single Carriageway,CHURCH ROAD,614,E01026713,King's Lynn and West Norfolk 008D,258,E07000146,King's Lynn and West Norfolk,E02005558,King's Lynn and West Norfolk 008,19571361,116,UE713 - Spellowfields,69,15,84,211,1500,7,116,290,70,211,629,129,1537,770,767,221,950,366,47,158,156,314,9,1500,211,3,5
4E+15,Minor Road,Single Carriageway,CHALK ROAD,262,E01026719,King's Lynn and West Norfolk 013C,279,E07000146,King's Lynn and West Norfolk,E02005563,King's Lynn and West Norfolk 013,23300917,122,UE719 - Walpole,119,42,161,324,2318,21,122,296,86,258,907,175,2322,1180,1142,445,1461,416,68,249,245,494,16,2318,258,4,5
4E+15,Minor Road,Single Carriageway,BLACK DROVE,139,E01026684,King's Lynn and West Norfolk 013A,277,E07000146,King's Lynn and West Norfolk,E02005563,King's Lynn and West Norfolk 013,25694338,304,UE684 - Mershe Lande,67,15,82,174,1160,0,304,261,39,122,461,92,1209,596,613,204,763,242,23,147,136,283,17,1160,122,5,5
4E+15,Minor Road,Single Carriageway,MAGDALEN ROAD,55,E01026697,King's Lynn and West Norfolk 015B,289,E07000146,King's Lynn and West Norfolk,E02005565,King's Lynn and West Norfolk 015,15476030,317,UE697 - St Lawrence,76,21,97,176,1264,1,317,274,79,190,550,140,1271,617,654,184,795,292,59,173,121,294,20,1264,190,6,5
4E+15,Local Street,Single Carriageway,VICTORY LANE,51,E01026697,King's Lynn and West Norfolk 015B,289,E07000146,King's Lynn and West Norfolk,E02005565,King's Lynn and West Norfolk 015,15476030,317,UE697 - St Lawrence,76,21,97,176,1264,6,317,274,79,190,550,140,1271,617,654,184,795,292,59,173,121,294,20,1264,190,7,5
4E+15,Minor Road,Single Carriageway,MAGDALEN HIGH ROAD,2450,E01026726,King's Lynn and West Norfolk 015D,291,E07000146,King's Lynn and West Norfolk,E02005565,King's Lynn and West Norfolk 015,36734798,129,UE726 - Wiggenhall,101,36,137,300,2099,30,129,303,105,289,858,196,2102,1064,1038,357,1294,451,77,239,215,454,25,2099,289,8,5
4E+15,A Road,Single Carriageway,A47,498,E01026713,King's Lynn and West Norfolk 008D,258,E07000146,King's Lynn and West Norfolk,E02005558,King's Lynn and West Norfolk 008,19571361,116,UE713 - Spellowfields,69,15,84,211,1500,4,116,290,70,211,629,129,1537,770,767,221,950,366,47,158,156,314,9,1500,211,9,5
4E+15,Minor Road,Single Carriageway,BLACK DROVE,24,E01026684,King's Lynn and West Norfolk 013A,277,E07000146,King's Lynn and West Norfolk,E02005563,King's Lynn and West Norfolk 013,25694338,304,UE684 - Mershe Lande,67,15,82,174,1160,0,304,261,39,122,461,92,1209,596,613,204,763,242,23,147,136,283,17,1160,122,10,5
4E+15,Private Road - Restricted Access,Single Carriageway,,114,E01026684,King's Lynn and West Norfolk 013A,277,E07000146,King's Lynn and West Norfolk,E02005563,King's Lynn and West Norfolk 013,25694338,304,UE684 - Mershe Lande,67,15,82,174,1160,4,304,261,39,122,461,92,1209,596,613,204,763,242,23,147,136,283,17,1160,122,11,5
4E+15,B Road,Single Carriageway,B1145,2057,E01026665,King's Lynn and West Norfolk 012A,273,E07000146,King's Lynn and West Norfolk,E02005562,King's Lynn and West Norfolk 012,41015248,285,UE665 - Gayton,94,30,124,327,2218,0,285,242,147,354,984,275,2240,1080,1160,361,1371,508,103,247,211,458,27,2218,354,12,5
4E+15,Minor Road,Single Carriageway,MASSINGHAM ROAD,2246,E01026675,King's Lynn and West Norfolk 012C,275,E07000146,King's Lynn and West Norfolk,E02005562,King's Lynn and West Norfolk 012,10198377,295,UE675 - Grimston,38,11,49,170,1216,5,295,252,62,162,508,107,1220,594,626,196,764,260,44,142,91,233,9,1216,162,13,5
4E+15,Minor Road,Single Carriageway,,2223,E01026445,Breckland 002C,6,E07000143,Breckland,E02005504,Breckland 002,55479548,160,UB445 - Nar Valley,121,26,147,366,2220,7,160,27,147,396,1001,257,2220,1084,1136,325,1291,604,103,291,234,525,15,2220,396,14,5
4E+15,A Road,Single Carriageway,A148,2187,E01026718,King's Lynn and West Norfolk 004D,240,E07000146,King's Lynn and West Norfolk,E02005554,King's Lynn and West Norfolk 004,113261127,121,UE718 - Valley Hill,98,22,120,351,2256,24,121,295,148,386,1008,263,2256,1092,1164,328,1340,588,93,262,188,450,26,2256,386,15,5
4E+15,Minor Road,Single Carriageway,LING HOUSE ROAD,1941,E01026655,King's Lynn and West Norfolk 004C,239,E07000146,King's Lynn and West Norfolk,E02005554,King's Lynn and West Norfolk 004,8452119,277,UE655 - Dersingham,70,17,87,236,1343,2,277,234,130,305,659,220,1345,620,725,167,710,468,84,191,146,337,8,1343,305,16,5
4E+15,A Road,Single Carriageway,A47,664,E01026445,Breckland 002C,6,E07000143,Breckland,E02005504,Breckland 002,55479548,160,UB445 - Nar Valley,121,26,147,366,2220,0,160,27,147,396,1001,257,2220,1084,1136,325,1291,604,103,291,234,525,15,2220,396,17,5
4E+15,Minor Road,Single Carriageway,,817,E01026445,Breckland 002C,6,E07000143,Breckland,E02005504,Breckland 002,55479548,160,UB445 - Nar Valley,121,26,147,366,2220,0,160,27,147,396,1001,257,2220,1084,1136,325,1291,604,103,291,234,525,15,2220,396,18,5
4E+15,Minor Road,Single Carriageway,NARFORD LANE,1191,E01026694,King's Lynn and West Norfolk 012D,276,E07000146,King's Lynn and West Norfolk,E02005562,King's Lynn and West Norfolk 012,68831307,314,UE694 - Priory (KL and West Norfolk),118,28,146,348,2427,0,314,271,170,402,1078,303,2431,1197,1234,368,1475,588,115,277,228,505,49,2427,402,19,5
4E+15,Local Street,Single Carriageway,,1080,E01026718,King's Lynn and West Norfolk 004D,240,E07000146,King's Lynn and West Norfolk,E02005554,King's Lynn and West Norfolk 004,113261127,121,UE718 - Valley Hill,98,22,120,351,2256,0,121,295,148,386,1008,263,2256,1092,1164,328,1340,588,93,262,188,450,26,2256,386,20,5
4E+15,Minor Road,Single Carriageway,,1031,E01026718,King's Lynn and West Norfolk 004D,240,E07000146,King's Lynn and West Norfolk,E02005554,King's Lynn and West Norfolk 004,113261127,121,UE718 - Valley Hill,98,22,120,351,2256,0,121,295,148,386,1008,263,2256,1092,1164,328,1340,588,93,262,188,450,26,2256,386,21,5
4E+15,Local Street,Single Carriageway,,2190,E01026718,King's Lynn and West Norfolk 004D,240,E07000146,King's Lynn and West Norfolk,E02005554,King's Lynn and West Norfolk 004,113261127,121,UE718 - Valley Hill,98,22,120,351,2256,2,121,295,148,386,1008,263,2256,1092,1164,328,1340,588,93,262,188,450,26,2256,386,22,5
4E+15,Minor Road,Single Carriageway,,899,E01026718,King's Lynn and West Norfolk 004D,240,E07000146,King's Lynn and West Norfolk,E02005554,King's Lynn and West Norfolk 004,113261127,121,UE718 - Valley Hill,98,22,120,351,2256,0,121,295,148,386,1008,263,2256,1092,1164,328,1340,588,93,262,188,450,26,2256,386,23,5
4E+15,Private Road - Restricted Access,Single Carriageway,,2591,E01026691,King's Lynn and West Norfolk 005A,241,E07000146,King's Lynn and West Norfolk,E02005555,King's Lynn and West Norfolk 005,31642810,311,UE691 - North Wootton,42,12,54,137,1158,3,311,268,46,147,457,79,1174,577,597,228,693,253,23,118,76,194,1,1158,147,24,5
4E+15,Private Road - Restricted Access,Single Carriageway,,1257,E01026718,King's Lynn and West Norfolk 004D,240,E07000146,King's Lynn and West Norfolk,E02005554,King's Lynn and West Norfolk 004,113261127,121,UE718 - Valley Hill,98,22,120,351,2256,1,121,295,148,386,1008,263,2256,1092,1164,328,1340,588,93,262,188,450,26,2256,386,25,5
4E+15,Minor Road,Single Carriageway,,1129,E01026695,King's Lynn and West Norfolk 002D,230,E07000146,King's Lynn and West Norfolk,E02005552,King's Lynn and West Norfolk 002,76789754,315,UE695 - Rudham,104,22,126,348,2128,0,315,272,157,396,984,275,2128,1083,1045,298,1229,601,82,268,199,467,37,2128,396,26,5
4E+15,Local Street,Single Carriageway,TITHEBARN LANE,1313,E01026644,King's Lynn and West Norfolk 014C,284,E07000146,King's Lynn and West Norfolk,E02005564,King's Lynn and West Norfolk 014,11129829,101,UE644 - Airfield,28,3,31,140,2011,12,101,223,3,16,644,14,2798,1706,1092,668,2104,26,15,83,54,137,0,2011,16,27,5
4E+15,Local Street,Single Carriageway,,3539,E01026694,King's Lynn and West Norfolk 012D,276,E07000146,King's Lynn and West Norfolk,E02005562,King's Lynn and West Norfolk 012,68831307,314,UE694 - Priory (KL and West Norfolk),118,28,146,348,2427,14,314,271,170,402,1078,303,2431,1197,1234,368,1475,588,115,277,228,505,49,2427,402,28,5
